I2002.DCE,COMMODITY,FUTURES,RESOURCE,铁矿石2002,DCE,100,2020-02-14,铁矿石,100吨,人民币元/吨
I2003.DCE,COMMODITY,FUTURES,RESOURCE,铁矿石2003,DCE,100,2020-03-13,铁矿石,100吨,人民币元/吨
IC1909.CFE,EQUITY,INDEX_FUTURES,INDEX,中证500期货1909,CFFEX,200,2019-09-20,中证500期货,1张,指数点
IC1912.CFE,EQUITY,INDEX_FUTURES,INDEX,中证500期货1912,CFFEX,200,2019-12-18,中证500期货,1张,指数点
IF1909.CFE,EQUITY,INDEX_FUTURES,INDEX,沪深300期货1909,CFFEX,300,2019-09-20,沪深300期货,1张,指数点
IF1912.CFE,EQUITY,INDEX_FUTURES,INDEX,沪深300期货1912,CFFEX,300,2019-12-18,沪深300期货,1张,指数点
J1909.DCE,COMMODITY,FUTURES,RESOURCE,冶金焦炭1909,DCE,100,2019-09-16,冶金焦炭,100吨,人民币元/吨
J1910.DCE,COMMODITY,FUTURES,RESOURCE,冶金焦炭1910,DCE,100,2019-10-21,冶金焦炭,100吨,人民币元/吨
J1911.DCE,COMMODITY,FUTURES,RESOURCE,冶金焦炭1911,DCE,100,2019-11-14,冶金焦炭,100吨,人民币元/吨
J1912.DCE,COMMODITY,FUTURES,RESOURCE,冶金焦炭1912,DCE,100,2019-12-13,冶金焦炭,100吨,人民币元/吨
J2001.DCE,COMMODITY,FUTURES,RESOURCE,冶金焦炭2001,DCE,100,2020-01-15,冶金焦炭,100吨,人民币元/吨
J2002.DCE,COMMODITY,FUTURES,RESOURCE,冶金焦炭2002,DCE,100,2020-02-14,冶金焦炭,100吨,人民币元/吨
J2003.DCE,COMMODITY,FUTURES,RESOURCE,冶金焦炭2003,DCE,100,2020-03-13,冶金焦炭,100吨,人民币元/吨
JD1909.DCE,COMMODITY,FUTURES,AGRICULTURE,鲜鸡蛋1909,DCE,10,2019-09-25,鲜鸡蛋,5吨,人民币元/500千克
JD1910.DCE,COMMODITY,FUTURES,AGRICULTURE,鲜鸡蛋1910,DCE,10,2019-10-28,鲜鸡蛋,5吨,人民币元/500千克
JD1911.DCE,COMMODITY,FUTURES,AGRICULTURE,鲜鸡蛋1911,DCE,10,2019-11-26,鲜鸡蛋,5吨,人民币元/500千克
JD1912.DCE,COMMODITY,FUTURES,AGRICULTURE,鲜鸡蛋1912,DCE,10,2019-12-26,鲜鸡蛋,5吨,人民币元/500千克
